,city,latitude,longitude,name,category_code,number_of_employees,founded_year,geo
500,San Francisco,37.7759675,-122.3931128,Coverity,enterprise,300,2002,"{'type': 'Point', 'coordinates': [-122.3931128, 37.7759675]}"
501,San Mateo,37.560781,-122.284114,Fortify Software,software,,2002,"{'type': 'Point', 'coordinates': [-122.284114, 37.560781]}"
502,Austin,30.281531,-97.735719,QuickInsert,public_relations,,2007,"{'type': 'Point', 'coordinates': [-97.735719, 30.281531]}"
503,Seattle,47.620716,-122.347533,Askablogr,web,,2008,"{'type': 'Point', 'coordinates': [-122.347533, 47.620716]}"
504,Portland,43.657058,-70.253959,Foneshow,mobile,8,2006,"{'type': 'Point', 'coordinates': [-70.253959, 43.657058]}"
505,San Francisco,37.7766587,-122.395875,YouNoodle,analytics,18,2010,"{'type': 'Point', 'coordinates': [-122.395875, 37.7766587]}"
506,San Jose,37.308591,-122.031476,Calista Technologies,enterprise,40,2006,"{'type': 'Point', 'coordinates': [-122.031476, 37.308591]}"
507,Austin,30.27646,-97.746387,Compulsivo,software,2,2007,"{'type': 'Point', 'coordinates': [-97.746387, 30.27646]}"
508,San Francisco,37.775196,-122.419204,doubleTwist,software,,2007,"{'type': 'Point', 'coordinates': [-122.419204, 37.775196]}"
509,Sunnyvale,37.371861,-121.999306,Avot Media,mobile,20,2007,"{'type': 'Point', 'coordinates': [-121.999306, 37.371861]}"
510,London,51.5211159,-0.0778345,Tipped,web,2,2007,"{'type': 'Point', 'coordinates': [-0.0778345, 51.5211159]}"
511,Cambridge,42.36787,-71.078258,YouCastr,games_video,5,2007,"{'type': 'Point', 'coordinates': [-71.078258, 42.36787]}"
512,New York,40.743662,-73.984268,MediaTrust,advertising,60,2004,"{'type': 'Point', 'coordinates': [-73.984268, 40.743662]}"
513,,37.269175,-119.306607,Newsclipper,games_video,0,2008,"{'type': 'Point', 'coordinates': [-119.306607, 37.269175]}"
514,Palo Alto,37.425773,-122.144271,GenieTown,search,8,2006,"{'type': 'Point', 'coordinates': [-122.144271, 37.425773]}"
515,New York,40.787783,-73.976413,Unype,network_hosting,1,2007,"{'type': 'Point', 'coordinates': [-73.976413, 40.787783]}"
516,San Diego,32.936973,-117.240431,RiffTrax,games_video,8,2006,"{'type': 'Point', 'coordinates': [-117.240431, 32.936973]}"
517,Paris,48.882647,2.322551,Agematis,software,40,2002,"{'type': 'Point', 'coordinates': [2.322551, 48.882647]}"
518,,52.132633,5.291266,P2P-Next,hardware,,2008,"{'type': 'Point', 'coordinates': [5.291266, 52.132633]}"
519,Austin,30.268735,-97.745209,FameCast,games_video,,2007,"{'type': 'Point', 'coordinates': [-97.745209, 30.268735]}"
520,San Mateo,37.534317,-122.294847,CineGoGo,games_video,2,2008,"{'type': 'Point', 'coordinates': [-122.294847, 37.534317]}"
521,Berkeley,37.87168,-122.269494,Redux,games_video,11,2007,"{'type': 'Point', 'coordinates': [-122.269494, 37.87168]}"
522,New York,40.7431477,-73.9934288,8coupons,web,4,2007,"{'type': 'Point', 'coordinates': [-73.9934288, 40.7431477]}"
523,Redwood City,37.386774,-121.987661,Evernote,software,280,2004,"{'type': 'Point', 'coordinates': [-121.987661, 37.386774]}"
524,Chicago,42.010632,-87.66831,Inkling,public_relations,4,2007,"{'type': 'Point', 'coordinates': [-87.66831, 42.010632]}"
525,Mountain View,37.40384,-122.07808,Raptr,games_video,,2007,"{'type': 'Point', 'coordinates': [-122.07808, 37.40384]}"
526,Los Angeles,33.954874,-118.396507,JuicyCampus,web,,2007,"{'type': 'Point', 'coordinates': [-118.396507, 33.954874]}"
527,Sunnyvale,37.384206,-121.992805,GoldSpot Media,advertising,,2006,"{'type': 'Point', 'coordinates': [-121.992805, 37.384206]}"
528,San Francisco,37.793375,-122.404571,Ad Infuse,advertising,,2005,"{'type': 'Point', 'coordinates': [-122.404571, 37.793375]}"
529,New York,40.744639,-73.983963,Inform Technologies,web,26,2004,"{'type': 'Point', 'coordinates': [-73.983963, 40.744639]}"
530,Chicago,41.886368,-87.641739,Academic Capital Exchange,ecommerce,5,2008,"{'type': 'Point', 'coordinates': [-87.641739, 41.886368]}"
531,San Diego,32.912063,-117.114827,Covario,enterprise,100,2006,"{'type': 'Point', 'coordinates': [-117.114827, 32.912063]}"
532,San Francisco,37.787126,-122.39783,SendMe,mobile,,2006,"{'type': 'Point', 'coordinates': [-122.39783, 37.787126]}"
533,Barcelona,41.387917,2.169919,Starfish Community Group,advertising,7,2007,"{'type': 'Point', 'coordinates': [2.169919, 41.387917]}"
534,New York,40.723652,-73.985281,Kluster,web,,2008,"{'type': 'Point', 'coordinates': [-73.985281, 40.723652]}"
535,New York,40.757929,-73.985506,Blog Talk Radio,web,,2006,"{'type': 'Point', 'coordinates': [-73.985506, 40.757929]}"
536,New York,40.794985,-73.96831,RareShare,network_hosting,2,2008,"{'type': 'Point', 'coordinates': [-73.96831, 40.794985]}"
537,Austin,30.414146,-97.807032,Top of the Barrel,web,7,2006,"{'type': 'Point', 'coordinates': [-97.807032, 30.414146]}"
538,San Francisco,37.781002,-122.406912,Tiny Pictures,mobile,18,2005,"{'type': 'Point', 'coordinates': [-122.406912, 37.781002]}"
539,Palo Alto,37.4784804,-122.1514101,Issuu,web,,2006,"{'type': 'Point', 'coordinates': [-122.1514101, 37.4784804]}"
540,Philadelphia,39.951639,-75.163808,Popularo,web,2,2007,"{'type': 'Point', 'coordinates': [-75.163808, 39.951639]}"
541,San Mateo,37.54763,-122.307887,SugarSync,web,60,2004,"{'type': 'Point', 'coordinates': [-122.307887, 37.54763]}"
542,Redwood City,37.503147,-122.211435,BillShrink,web,,2008,"{'type': 'Point', 'coordinates': [-122.211435, 37.503147]}"
543,Irvine,33.678551,-117.823464,Leverage Card,public_relations,,2005,"{'type': 'Point', 'coordinates': [-117.823464, 33.678551]}"
544,San Francisco,37.783151,-122.393323,The Industry Standard,web,4,2006,"{'type': 'Point', 'coordinates': [-122.393323, 37.783151]}"
545,Mountain View,37.431769,-122.099577,Kazeon,enterprise,,2003,"{'type': 'Point', 'coordinates': [-122.099577, 37.431769]}"
546,Palo Alto,37.445326,-122.160671,PhotoCrank,web,3,2006,"{'type': 'Point', 'coordinates': [-122.160671, 37.445326]}"
547,New York,40.711982,-74.008622,Mochila,advertising,52,2001,"{'type': 'Point', 'coordinates': [-74.008622, 40.711982]}"
548,New York,40.757929,-73.985506,Gamers Media,web,,2007,"{'type': 'Point', 'coordinates': [-73.985506, 40.757929]}"
549,,37.419156,-122.075413,Zilpy,web,3,2006,"{'type': 'Point', 'coordinates': [-122.075413, 37.419156]}"
550,San Francisco,37.80294,-122.266978,Surf Canyon,search,4,2006,"{'type': 'Point', 'coordinates': [-122.266978, 37.80294]}"
551,New York,40.8587524,-73.7258199,OLX,web,85,2006,"{'type': 'Point', 'coordinates': [-73.7258199, 40.8587524]}"
552,,32.6460331,-16.9147342,Tinypic,web,,2005,"{'type': 'Point', 'coordinates': [-16.9147342, 32.6460331]}"
553,San Francisco,41.948365,-87.646307,Fifteen Reasons,web,6,2006,"{'type': 'Point', 'coordinates': [-87.646307, 41.948365]}"
554,Berlin,52.502633,13.441005,Qiro,mobile,15,2006,"{'type': 'Point', 'coordinates': [13.441005, 52.502633]}"
555,Philadelphia,40.738832,-73.981534,PayLoadz,web,15,2004,"{'type': 'Point', 'coordinates': [-73.981534, 40.738832]}"
556,Toronto,43.666953,-79.388279,ModiFace,analytics,35,2007,"{'type': 'Point', 'coordinates': [-79.388279, 43.666953]}"
557,New York,40.74632,-73.982607,Right Media,advertising,,2003,"{'type': 'Point', 'coordinates': [-73.982607, 40.74632]}"
558,,-14.235004,-51.92528,MercadoFechado,ecommerce,,2007,"{'type': 'Point', 'coordinates': [-51.92528, -14.235004]}"
559,New York,40.757929,-73.985506,Totspot,web,,2008,"{'type': 'Point', 'coordinates': [-73.985506, 40.757929]}"
560,San Francisco,37.7809512,-122.4025016,Heavy Electrons,web,,2008,"{'type': 'Point', 'coordinates': [-122.4025016, 37.7809512]}"
561,Toronto,43.70391,-79.452609,FreshBooks,web,110,2003,"{'type': 'Point', 'coordinates': [-79.452609, 43.70391]}"
562,,42.037302,-71.683502,ZapNat,web,2,2008,"{'type': 'Point', 'coordinates': [-71.683502, 42.037302]}"
563,New York,40.726637,-74.005177,The Media Kitchen,other,60,2001,"{'type': 'Point', 'coordinates': [-74.005177, 40.726637]}"
564,,37.09024,-95.712891,InsideTrip,search,,2007,"{'type': 'Point', 'coordinates': [-95.712891, 37.09024]}"
565,Montreal,40.048078,-105.38018,I-stats,web,1,2004,"{'type': 'Point', 'coordinates': [-105.38018, 40.048078]}"
566,Miami,25.774252,-80.190262,BabySpot,web,,2006,"{'type': 'Point', 'coordinates': [-80.190262, 25.774252]}"
567,London,51.5320478,-0.011154,ProofHQ,software,,2008,"{'type': 'Point', 'coordinates': [-0.011154, 51.5320478]}"
568,New York,40.717248,-74.002662,Boonty,games_video,150,2001,"{'type': 'Point', 'coordinates': [-74.002662, 40.717248]}"
569,New York,40.739794,-73.985878,Phreesia,software,70,2005,"{'type': 'Point', 'coordinates': [-73.985878, 40.739794]}"
570,Chicago,41.88583,-87.657354,crowdSPRING,ecommerce,14,2007,"{'type': 'Point', 'coordinates': [-87.657354, 41.88583]}"
571,San Francisco,37.758229,-122.439512,Fanpop,web,4,2006,"{'type': 'Point', 'coordinates': [-122.439512, 37.758229]}"
572,San Francisco,37.790485,-122.40094,Sportgenic,advertising,15,2005,"{'type': 'Point', 'coordinates': [-122.40094, 37.790485]}"
573,,52.216917,5.18642,Fellowforce,web,,2007,"{'type': 'Point', 'coordinates': [5.18642, 52.216917]}"
574,Los Angeles,34.041037,-118.23341,SEO Intelligence,advertising,4,2007,"{'type': 'Point', 'coordinates': [-118.23341, 34.041037]}"
575,Atlanta,33.754487,-84.389663,Mapicurious,mobile,1,2005,"{'type': 'Point', 'coordinates': [-84.389663, 33.754487]}"
576,Denver,39.796465,-104.860038,Printfection,ecommerce,,2004,"{'type': 'Point', 'coordinates': [-104.860038, 39.796465]}"
577,Atlanta,33.859484,-84.387491,RingBranch,mobile,4,2007,"{'type': 'Point', 'coordinates': [-84.387491, 33.859484]}"
578,Chicago,42.040851,-87.750643,Ifbyphone,software,90,2005,"{'type': 'Point', 'coordinates': [-87.750643, 42.040851]}"
579,San Francisco,37.787183,-122.397759,LiveRail,advertising,110,2008,"{'type': 'Point', 'coordinates': [-122.397759, 37.787183]}"
580,Santa Monica,34.031328,-118.471463,Generate,games_video,,2004,"{'type': 'Point', 'coordinates': [-118.471463, 34.031328]}"
581,New York,40.7570972,-73.969821,Generate,games_video,,2004,"{'type': 'Point', 'coordinates': [-73.969821, 40.7570972]}"
582,London,51.523307,-0.083999,My Neighbourhoods,network_hosting,2,2006,"{'type': 'Point', 'coordinates': [-0.083999, 51.523307]}"
583,San Francisco,37.789268,-122.395184,OpenDNS,security,200,2005,"{'type': 'Point', 'coordinates': [-122.395184, 37.789268]}"
584,,40.463667,-3.74922,Pixoo,web,,2007,"{'type': 'Point', 'coordinates': [-3.74922, 40.463667]}"
585,San Jose,37.321798,-121.979453,Asterpix,web,,2006,"{'type': 'Point', 'coordinates': [-121.979453, 37.321798]}"
586,Berlin,52.5290751,13.4161514,VZnet Netzwerke,web,300,2005,"{'type': 'Point', 'coordinates': [13.4161514, 52.5290751]}"
587,San Francisco,37.787683,-122.410943,GoodBarry,enterprise,,2004,"{'type': 'Point', 'coordinates': [-122.410943, 37.787683]}"
588,Irvine,33.676444,-117.8587,Kareo,software,250,2004,"{'type': 'Point', 'coordinates': [-117.8587, 33.676444]}"
589,San Diego,32.775136,-117.138264,NewCondosOnline,advertising,15,2006,"{'type': 'Point', 'coordinates': [-117.138264, 32.775136]}"
590,Scottsdale,33.503906,-111.93315,nobosh,web,1,2008,"{'type': 'Point', 'coordinates': [-111.93315, 33.503906]}"
591,Washington,38.912329,-77.03876,Brijit,web,,2006,"{'type': 'Point', 'coordinates': [-77.03876, 38.912329]}"
592,Montreal,45.516545,-73.578477,Akoha,games_video,12,2006,"{'type': 'Point', 'coordinates': [-73.578477, 45.516545]}"
593,San Mateo,37.559267,-122.302251,Relevad,advertising,10,2005,"{'type': 'Point', 'coordinates': [-122.302251, 37.559267]}"
594,,37.09024,-95.712891,Bloxes,ecommerce,,2008,"{'type': 'Point', 'coordinates': [-95.712891, 37.09024]}"
595,Mountain View,37.388022,-122.07431,Zicasso,web,,2006,"{'type': 'Point', 'coordinates': [-122.07431, 37.388022]}"
596,,38.003376,-79.420926,ShoutWire,web,9,2003,"{'type': 'Point', 'coordinates': [-79.420926, 38.003376]}"
597,Los Angeles,34.052187,-118.243425,Taltopia,games_video,3,2007,"{'type': 'Point', 'coordinates': [-118.243425, 34.052187]}"
598,New York,40.746883,-73.983969,Tripology,web,9,2006,"{'type': 'Point', 'coordinates': [-73.983969, 40.746883]}"
599,,35.86166,104.195397,CityIN,web,11,2008,"{'type': 'Point', 'coordinates': [104.195397, 35.86166]}"
600,Seattle,47.602416,-122.332614,PI Corporation,network_hosting,,2003,"{'type': 'Point', 'coordinates': [-122.332614, 47.602416]}"
601,San Francisco,38.7072,-121.28,Lindotiger,advertising,20,2007,"{'type': 'Point', 'coordinates': [-121.28, 38.7072]}"
602,New York,40.718871,-74.00118,Thrive,web,15,2007,"{'type': 'Point', 'coordinates': [-74.00118, 40.718871]}"
603,San Diego,32.718834,-117.163841,Vidmeter,web,,2007,"{'type': 'Point', 'coordinates': [-117.163841, 32.718834]}"
604,Seattle,47.693994,-122.349701,SportsUltra,games_video,,2007,"{'type': 'Point', 'coordinates': [-122.349701, 47.693994]}"
605,Seattle,47.693994,-122.349701,politicsultra,games_video,,2008,"{'type': 'Point', 'coordinates': [-122.349701, 47.693994]}"
606,New York,40.7566658,-73.9827553,Giant Realm,web,,2007,"{'type': 'Point', 'coordinates': [-73.9827553, 40.7566658]}"
607,Mountain View,37.387226,-122.049945,AirTight Networks,security,,2002,"{'type': 'Point', 'coordinates': [-122.049945, 37.387226]}"
608,Los Angeles,34.047104,-118.434213,SmartRatings,ecommerce,5,2007,"{'type': 'Point', 'coordinates': [-118.434213, 34.047104]}"
609,,45.494552,-114.143262,Booklamp,software,6,2007,"{'type': 'Point', 'coordinates': [-114.143262, 45.494552]}"
610,San Francisco,37.775196,-122.419204,Clickpass,web,90,2007,"{'type': 'Point', 'coordinates': [-122.419204, 37.775196]}"
611,Toronto,43.648864,-79.377781,Tokiva Technologies,mobile,,2007,"{'type': 'Point', 'coordinates': [-79.377781, 43.648864]}"
612,Mountain View,37.386665,-122.084171,SearchMe,search,52,2005,"{'type': 'Point', 'coordinates': [-122.084171, 37.386665]}"
613,San Francisco,37.793473,-122.402667,SearchMe,search,52,2005,"{'type': 'Point', 'coordinates': [-122.402667, 37.793473]}"
614,Miami,25.9690885,-80.1417742,Global Roaming,mobile,29,2006,"{'type': 'Point', 'coordinates': [-80.1417742, 25.9690885]}"
615,Portland,45.484413,-122.675838,Janrain,web,,2005,"{'type': 'Point', 'coordinates': [-122.675838, 45.484413]}"
616,,56.130366,-106.346771,Panizon,advertising,4,2007,"{'type': 'Point', 'coordinates': [-106.346771, 56.130366]}"
617,Washington,38.901887,-77.044502,Voxiva,other,,2001,"{'type': 'Point', 'coordinates': [-77.044502, 38.901887]}"
618,Washington,38.906839,-77.042234,Revolution Health,web,,2005,"{'type': 'Point', 'coordinates': [-77.042234, 38.906839]}"
619,Los Angeles,34.043948,-118.468204,DailyStrength,web,14,2006,"{'type': 'Point', 'coordinates': [-118.468204, 34.043948]}"
620,San Francisco,37.386665,-122.084171,Cognitive Labs,web,,2004,"{'type': 'Point', 'coordinates': [-122.084171, 37.386665]}"
621,San Francisco,37.800356,-122.402609,Discovery Engine,search,10,2007,"{'type': 'Point', 'coordinates': [-122.402609, 37.800356]}"
622,San Francisco,37.767575,-122.411157,PopularMedia,advertising,,2003,"{'type': 'Point', 'coordinates': [-122.411157, 37.767575]}"
623,New York,40.743808,-73.983626,Next New Networks,web,121,2007,"{'type': 'Point', 'coordinates': [-73.983626, 40.743808]}"
624,Palo Alto,37.5645375,-122.3254705,Skydeck,mobile,9,2012,"{'type': 'Point', 'coordinates': [-122.3254705, 37.5645375]}"
625,New York,40.7150928,-74.0101816,JobThread,advertising,10,2003,"{'type': 'Point', 'coordinates': [-74.0101816, 40.7150928]}"
626,San Francisco,37.755012,-122.418137,Sprout,advertising,18,2008,"{'type': 'Point', 'coordinates': [-122.418137, 37.755012]}"
627,San Francisco,37.786906,-122.397672,Snaptalent,web,,2007,"{'type': 'Point', 'coordinates': [-122.397672, 37.786906]}"
628,Redwood City,37.555962,-122.288006,Jivox,advertising,60,2007,"{'type': 'Point', 'coordinates': [-122.288006, 37.555962]}"
629,San Francisco,37.762583,-122.46487,TeamWork Live,enterprise,,2004,"{'type': 'Point', 'coordinates': [-122.46487, 37.762583]}"
630,San Francisco,37.796164,-122.420903,Daikana,network_hosting,1,2007,"{'type': 'Point', 'coordinates': [-122.420903, 37.796164]}"
631,Los Angeles,34.089679,-118.292618,CrewedUp,web,8,2007,"{'type': 'Point', 'coordinates': [-118.292618, 34.089679]}"
632,Paris,48.841717,2.293843,Weplug,network_hosting,,2007,"{'type': 'Point', 'coordinates': [2.293843, 48.841717]}"
633,London,51.30077,0.404618,Arclight Media Technology,web,13,2005,"{'type': 'Point', 'coordinates': [0.404618, 51.30077]}"
634,Palo Alto,37.4203945,-122.0872274,ShareThis,social,80,2007,"{'type': 'Point', 'coordinates': [-122.0872274, 37.4203945]}"
635,San Francisco,37.791137,-122.391843,Elastra,software,,2007,"{'type': 'Point', 'coordinates': [-122.391843, 37.791137]}"
636,Mountain View,37.391727,-122.077597,Krillion,web,10,2006,"{'type': 'Point', 'coordinates': [-122.077597, 37.391727]}"
637,San Mateo,37.556152,-122.281484,Star Analytics,software,,2004,"{'type': 'Point', 'coordinates': [-122.281484, 37.556152]}"
638,San Francisco,37.7885714,-122.4035985,kwiry,mobile,3,2006,"{'type': 'Point', 'coordinates': [-122.4035985, 37.7885714]}"
639,Redwood City,37.512318,-122.200914,Replay Solutions,software,30,2004,"{'type': 'Point', 'coordinates': [-122.200914, 37.512318]}"
640,Palo Alto,37.429676,-122.1085482,Scalent Systems,public_relations,,2003,"{'type': 'Point', 'coordinates': [-122.1085482, 37.429676]}"
641,Los Angeles,34.062504,-118.354605,Authenticlick,search,20,2005,"{'type': 'Point', 'coordinates': [-118.354605, 34.062504]}"
642,San Jose,37.381034,-121.971487,InMage Systems,software,150,2001,"{'type': 'Point', 'coordinates': [-121.971487, 37.381034]}"
643,San Francisco,37.7834147,-122.4209958,Webpass,web,,2003,"{'type': 'Point', 'coordinates': [-122.4209958, 37.7834147]}"
644,San Francisco,37.775196,-122.419204,MyBlogLog,web,,2005,"{'type': 'Point', 'coordinates': [-122.419204, 37.775196]}"
645,Boulder,40.019299,-105.274628,Gnip,enterprise,34,2008,"{'type': 'Point', 'coordinates': [-105.274628, 40.019299]}"
646,San Jose,37.3973787,-122.0879281,Wrike,enterprise,50,2006,"{'type': 'Point', 'coordinates': [-122.0879281, 37.3973787]}"
647,London,51.4991094,-0.1984802,Playfish,games_video,,2007,"{'type': 'Point', 'coordinates': [-0.1984802, 51.4991094]}"
648,Santa Monica,34.018295,-118.484444,VaultStreet,web,,2006,"{'type': 'Point', 'coordinates': [-118.484444, 34.018295]}"
649,San Francisco,37.789349,-122.412893,Ninite,enterprise,2,2009,"{'type': 'Point', 'coordinates': [-122.412893, 37.789349]}"
650,Chicago,41.9577761,-87.6556468,Planypus,web,,2005,"{'type': 'Point', 'coordinates': [-87.6556468, 41.9577761]}"
651,Mountain View,37.3950064,-122.0851493,Virtualmin,enterprise,,2005,"{'type': 'Point', 'coordinates': [-122.0851493, 37.3950064]}"
652,San Francisco,37.804477,-122.427021,Coordinatr,software,2,2007,"{'type': 'Point', 'coordinates': [-122.427021, 37.804477]}"
653,New York,37.750608,-122.423581,Octopart,search,,2007,"{'type': 'Point', 'coordinates': [-122.423581, 37.750608]}"
654,San Francisco,37.766,-122.450011,Socialmoth,web,,2004,"{'type': 'Point', 'coordinates': [-122.450011, 37.766]}"
655,,37.269175,-119.306607,MyDogSpace,web,,2007,"{'type': 'Point', 'coordinates': [-119.306607, 37.269175]}"
656,San Diego,32.88945,-117.166929,Tapioca Mobile,mobile,,2008,"{'type': 'Point', 'coordinates': [-117.166929, 32.88945]}"
657,New York,40.7680901,-73.9566761,Dotsub,games_video,,2007,"{'type': 'Point', 'coordinates': [-73.9566761, 40.7680901]}"
658,,55.378051,-3.435973,Wordki,web,2,2008,"{'type': 'Point', 'coordinates': [-3.435973, 55.378051]}"
659,,37.09024,-95.712891,Ubuket,web,15,2007,"{'type': 'Point', 'coordinates': [-95.712891, 37.09024]}"
660,Austin,47.635749,-122.324362,Notice Technologies,analytics,5,2008,"{'type': 'Point', 'coordinates': [-122.324362, 47.635749]}"
661,,55.378051,-3.435973,Slicethepie,games_video,,2007,"{'type': 'Point', 'coordinates': [-3.435973, 55.378051]}"
662,San Francisco,37.80391,-122.4042586,ReadBurner,web,4,2008,"{'type': 'Point', 'coordinates': [-122.4042586, 37.80391]}"
663,San Diego,32.874129,-117.211102,Taaz,web,,2007,"{'type': 'Point', 'coordinates': [-117.211102, 32.874129]}"
664,Dublin,53.339347,-6.250848,SIMchronise,mobile,5,2005,"{'type': 'Point', 'coordinates': [-6.250848, 53.339347]}"
665,New York,40.747003,-73.991562,Athena Archiver,software,50,2004,"{'type': 'Point', 'coordinates': [-73.991562, 40.747003]}"
666,Los Angeles,34.081952,-118.357658,FASTALLEY,network_hosting,,2007,"{'type': 'Point', 'coordinates': [-118.357658, 34.081952]}"
667,Brooklyn,40.737284,-73.955432,Dadaphile,web,,2007,"{'type': 'Point', 'coordinates': [-73.955432, 40.737284]}"
668,Berlin,52.525092,13.345143,acomo,web,6,2007,"{'type': 'Point', 'coordinates': [13.345143, 52.525092]}"
669,Sunnyvale,37.3793718,-122.0124404,Clipta,games_video,16,2008,"{'type': 'Point', 'coordinates': [-122.0124404, 37.3793718]}"
670,San Diego,37.09024,-95.712891,KidZui,web,,2006,"{'type': 'Point', 'coordinates': [-95.712891, 37.09024]}"
671,Irvine,33.690354,-117.829435,Mojizu,network_hosting,,2006,"{'type': 'Point', 'coordinates': [-117.829435, 33.690354]}"
672,San Francisco,37.775196,-122.419204,Viddyou,games_video,5,2007,"{'type': 'Point', 'coordinates': [-122.419204, 37.775196]}"
673,Palo Alto,37.444487,-122.163979,SonicSwap,games_video,8,2003,"{'type': 'Point', 'coordinates': [-122.163979, 37.444487]}"
674,Berkeley,37.879726,-122.298015,Cozimo,games_video,,2006,"{'type': 'Point', 'coordinates': [-122.298015, 37.879726]}"
675,Palo Alto,37.437328,-122.159928,MyMiniLife,games_video,4,2007,"{'type': 'Point', 'coordinates': [-122.159928, 37.437328]}"
676,New York,40.6116883,-73.819503,Shvoong,other,15,2005,"{'type': 'Point', 'coordinates': [-73.819503, 40.6116883]}"
677,San Francisco,37.796164,-122.420903,Liftopia,ecommerce,35,2005,"{'type': 'Point', 'coordinates': [-122.420903, 37.796164]}"
678,Los Angeles,34.018349,-118.486889,Causecast,enterprise,26,2007,"{'type': 'Point', 'coordinates': [-118.486889, 34.018349]}"
679,Mountain View,37.378884,-122.010692,AnchorFree,security,40,2005,"{'type': 'Point', 'coordinates': [-122.010692, 37.378884]}"
680,Berlin,37.38988,-122.095612,iliketotallyloveit,ecommerce,,2007,"{'type': 'Point', 'coordinates': [-122.095612, 37.38988]}"
681,Boston,42.322072,-71.13129,InformedMD,web,2,2008,"{'type': 'Point', 'coordinates': [-71.13129, 42.322072]}"
682,New York,40.745559,-73.986243,Networked Insights,analytics,130,2006,"{'type': 'Point', 'coordinates': [-73.986243, 40.745559]}"
683,Chicago,41.879979,-87.634173,Networked Insights,analytics,130,2006,"{'type': 'Point', 'coordinates': [-87.634173, 41.879979]}"
684,New York,34.016655,-118.492358,ContentNext Media,web,,2002,"{'type': 'Point', 'coordinates': [-118.492358, 34.016655]}"
685,Denver,39.755092,-104.988123,MosaicGlobe,web,6,2004,"{'type': 'Point', 'coordinates': [-104.988123, 39.755092]}"
686,San Diego,32.72038,-117.166941,Dandelife,network_hosting,6,2006,"{'type': 'Point', 'coordinates': [-117.166941, 32.72038]}"
687,Palo Alto,34.007967,-118.489681,Mytopia,games_video,29,2007,"{'type': 'Point', 'coordinates': [-118.489681, 34.007967]}"
688,,37.09024,-95.712891,thesixtyone,web,,2008,"{'type': 'Point', 'coordinates': [-95.712891, 37.09024]}"
689,Berkeley,37.892301,-122.256239,RelevantMind,web,13,2006,"{'type': 'Point', 'coordinates': [-122.256239, 37.892301]}"
690,San Francisco,37.79471,-122.40195,Netbooks,web,,2006,"{'type': 'Point', 'coordinates': [-122.40195, 37.79471]}"
691,Los Angeles,34.052187,-118.243425,Magento,ecommerce,275,2010,"{'type': 'Point', 'coordinates': [-118.243425, 34.052187]}"
692,Santa Monica,34.054212,-118.464454,Terra Matrix Media,web,,2007,"{'type': 'Point', 'coordinates': [-118.464454, 34.054212]}"
693,Brooklyn,40.6378331,-74.0327971,Notches,web,1,2006,"{'type': 'Point', 'coordinates': [-74.0327971, 40.6378331]}"
694,,37.269175,-119.306607,The Whoa Show,web,,2007,"{'type': 'Point', 'coordinates': [-119.306607, 37.269175]}"
695,,46.44186,-93.36132,Soashable,web,,2008,"{'type': 'Point', 'coordinates': [-93.36132, 46.44186]}"
696,Seattle,47.620716,-122.347533,Bookgoo,network_hosting,5,2007,"{'type': 'Point', 'coordinates': [-122.347533, 47.620716]}"
697,London,51.516594,-0.108111,TJAT,mobile,,2006,"{'type': 'Point', 'coordinates': [-0.108111, 51.516594]}"
698,London,51.539778,-0.152998,Pikum,games_video,15,2007,"{'type': 'Point', 'coordinates': [-0.152998, 51.539778]}"
699,Santa Monica,34.01052,-118.495981,Intent,web,6,2008,"{'type': 'Point', 'coordinates': [-118.495981, 34.01052]}"
700,Bangalore,13.033353,77.578768,BuyerRaja,web,20,2008,"{'type': 'Point', 'coordinates': [77.578768, 13.033353]}"
701,London,51.5235368,-0.0808503,HelloTxt,web,2,2007,"{'type': 'Point', 'coordinates': [-0.0808503, 51.5235368]}"
702,Scottsdale,33.5076738,-111.9269272,SeatNation,web,9,2007,"{'type': 'Point', 'coordinates': [-111.9269272, 33.5076738]}"
703,Dallas,32.9249424,-96.7679229,Kannuu,software,,2007,"{'type': 'Point', 'coordinates': [-96.7679229, 32.9249424]}"
704,Boston,42.322072,-71.13129,TOKiBiz,web,1,2007,"{'type': 'Point', 'coordinates': [-71.13129, 42.322072]}"
705,,37.269175,-119.306607,Episodic,games_video,6,2008,"{'type': 'Point', 'coordinates': [-119.306607, 37.269175]}"
706,New York,40.724421,-73.997026,Trendrr,enterprise,20,2007,"{'type': 'Point', 'coordinates': [-73.997026, 40.724421]}"
707,San Mateo,37.553577,-122.302079,Cemaphore Systems,web,,2002,"{'type': 'Point', 'coordinates': [-122.302079, 37.553577]}"
708,Mountain View,37.398022,-122.049143,Clearwell Systems,software,210,2004,"{'type': 'Point', 'coordinates': [-122.049143, 37.398022]}"
709,Toronto,43.746327,-79.407214,BlueCat Networks,enterprise,120,2001,"{'type': 'Point', 'coordinates': [-79.407214, 43.746327]}"
710,Sunnyvale,37.424801,-122.07259,Become,search,,2004,"{'type': 'Point', 'coordinates': [-122.07259, 37.424801]}"
711,Vancouver,49.2767775,-123.1210616,Rosterbot,games_video,,2008,"{'type': 'Point', 'coordinates': [-123.1210616, 49.2767775]}"
712,Madrid,40.497716,-3.647842,AsesorSeguros,web,,2007,"{'type': 'Point', 'coordinates': [-3.647842, 40.497716]}"
