,Year,Country,Area,Injury,Fatal
1178,2007,AUSTRALIA,New South Wales,Lacerations to  lower left leg & ankle ,N
1181,2007,USA,Florida,"A large shark rammed boat, breaking prop shaft. No injury to occupants but boat sank several hours later",N
1182,2007,AUSTRALIA,New South Wales,Head & torso bitten,N
1183,2007,AUSTRALIA,New South Wales,Shark involvement prior to death unconfirmed,Y
1184,2007,SOUTH AFRICA,Eastern Cape Province,"Presumed FATAL, body not recovered",Y
1185,2007,AUSTRALIA,New South Wales,"No injury, shark damaged surfboard",N
1186,2007,USA,New York,No injury,N
1187,2007,USA,Hawaii,"No injury, shark removed piece of surfboard",N
1188,2006,AUSTRALIA,Victoria,Left leg bitten,N
1190,2006,USA,California,"Minor injuries, surfboard bitten",N
1191,2006,SOUTH AFRICA,KwaZulu-Natal,"Hand, thigh & calf bitten by hooked shark PROVOKED INCIDENT",N
1192,2006,AUSTRALIA,Western Australia,"Right leg severed, left leg lacerated",N
1194,2006,USA,Hawaii,Laceration to left thigh & left hand,N
1195,2006,SOUTH AFRICA,Eastern Cape Province,Left arm lacerated when he grabbed shark by its tail PROVOKED INCIDENT,N
1196,2006,USA,Oregon,"No injury, surfboard bitten",N
1197,2006,USA,Florida,Lower right leg and foot bitten,N
1198,2006,USA,Florida,Left ankle bitten,N
1199,2006,USA,Texas,Lacerations to lower left leg,N
1200,2006,USA,Florida,Lacerations to foot,N
1203,2006,SOUTH AFRICA,Western Cape Province,No injury; 4m white shark made a threat display,N
1204,2006,USA,Florida,Big toe bitten,N
1205,2006,USA,Florida,Lacerations to upper lip    PROVOKED INCIDENT,N
1206,2006,USA,North Carolina,Laceration to left thigh,N
1207,2006,USA,Florida,Minor injury to left hand,N
1208,2006,USA,Florida,Left torso grazed,N
1209,2006,AUSTRALIA,Queensland,"Killed by a stingray, not a shark - a tragedy for his family and marine wildlife",Y
1211,2006,USA,Florida,Puncture wounds and cuts to right thigh,N
1212,2006,USA,Florida,Arm bitten,N
1213,2006,SOUTH AFRICA,Western Cape Province,"No injury, shark rammed surfboard",N
1214,2006,USA,Oregon,Laceration & puncture wounds to foot,N
1215,2006,AUSTRALIA,South Australia,"No injury, shark towed  surfer & board",N
1221,2006,SOUTH AFRICA,Western Cape Province,"No injury, surfboard leash severed",N
1222,2006,SOUTH AFRICA,Western Cape Province,Foot severed,N
1223,2006,USA,North Carolina,Lacerations & punctures to left foot,N
1225,2006,USA,Kentucky,"Minor injuries, similar to paper cuts from the captive sharks  PROVOKED INCIDENTS",N
1226,2006,USA,Oregon,Minor injury,N
1227,2006,USA,California,"Bruises, laceration to head, spinal cord injury & neck broken at C5/C6 ",N
1228,2006,USA,Florida,Foot bitten,N
1229,2006,SOUTH AFRICA,Western Cape Province,"No injury, surf ski bitten",N
1230,2006,USA,Florida,Minor lacerations to right foot,N
1231,2006,USA,Texas,Right foot bitten,N
1232,2006,AUSTRALIA,Torres Strait,8 shark-bitten bodies washed ashore,N
1233,2006,USA,South Carolina,Left ankle & foot bitten,N
1235,2006,USA,South Carolina,Ankle & foot bitten,N
1237,2006,USA,Florida,Dorsum of left foot bitten,N
1238,2006,USA,Florida,Lower leg & ankle bitten,N
1239,2006,USA,South Carolina,Foot bitten,N
1240,2006,USA,Florida,Right calf bitten,N
1241,2006,USA,Florida,Lacerations & puncture wound  to arm,N
1242,2006,USA,Florida,Minor injuries,N
1243,2006,USA,Florida,Right calf bitten,N
1244,2006,USA,Florida,Non-swimmer pulled off pier& into the water by a hooked shark PROVOKED INCIDENT,N
1246,2006,USA,Florida,2-inch puncture wounds on right foot,N
1248,2006,USA,California,"No injury, shark bit scuba tank boot",N
1249,2006,USA,Florida,Four 1-inch puncture wounds on left foot ,N
1250,2006,USA,South Carolina,Lacerations & puncture wounds to left foot & buttocks,N
1251,2006,AUSTRALIA,South Australia,"No injury, knocked off surfboard",N
1252,2006,USA,Hawaii,"4"" laceration to left forearm",N
1253,2006,USA,Hawaii,"No injury to occupants, boat damaged by hooked shark PROVOKED INCIDENT",N
1254,2006,USA,Hawaii,"No injury, shark bumped surfboard",N
1255,2006,USA,Hawaii,Knee bitten after diver poked shark PROVOKED INCIDENT,N
1257,2006,USA,Guam,Laceration to leg,N
1258,2006,USA,Florida,Small lacerations to arm,N
1259,2006,USA,Florida,2 lacerations on lower right leg,N
1260,2006,AUSTRALIA,Queensland,Abrasion & 6 puncture wounds on chest after grabbing the shark by its tail PROVOKED INCIDENT,N
1261,2006,USA,Florida,Shark bites post mortem,Y
1262,2006,USA,Florida,Feet bitten,N
1263,2006,USA,Florida,3 tiny punctures & small lacerations on right ankle,N
1264,2006,USA,Florida,3 to 4 cm laceration on foot from hooked shark brought on board PROVOKED INCIDENT,N
1265,2006,AUSTRALIA,New South Wales,Minor laceration to left foot,N
1266,2006,SOUTH AFRICA,Eastern Cape Province,Leg bitten,N
1268,2006,USA,Florida,Minor injury to right hand & thigh,N
1270,2006,USA,Hawaii,5 puncture wounds in left calf,N
1271,2006,SOUTH AFRICA,Eastern Cape Province,"FATAL, but shark involvement prior to death unconfirmed",Y
1273,2006,AUSTRALIA,New South Wales,"No injury, shark nudged surfboard",N
1274,2006,USA,Hawaii,Deep laceration to right calf,N
1275,2006,USA,Hawaii,Forensic examination suggested diver drowned & afterwards his body was bitten by a shark/s,Y
1276,2006,AUSTRALIA,Queensland,Lacerations to foot,N
1277,2006,AUSTRALIA,Queensland,Puncture wound on arm,N
1278,2006,AUSTRALIA,South Australia,No injury to occupants; shark nudged the 5.3 m boat,N
1279,2006,SOUTH AFRICA,Eastern Cape Province,2 bite marks on right calf,N
1281,2006,USA,Hawaii,No injury to occupant; shark bumped the kayak repeatedly for 15 minutes,N
1283,2006,SOUTH AFRICA,Eastern Cape Province,Right arm  bitten,N
1285,2006,USA,California,"No injury, but 2 small nicks on wetsuit",N
1286,2006,AUSTRALIA,Western Australia,Lacerations to left elbow,N
1288,2006,AUSTRALIA,Queensland,FATAL,Y
1289,2006,USA,Florida,3 puncture wounds in right wrist & hand,N
1290,2006,SOUTH AFRICA,Western Cape Province,Lacerations to little finger,N
1291,2005,USA,Oregon,Lacerations to ankle & calf,N
1292,2005,USA,Hawaii,Left hand bitten,N
1294,2005,AUSTRALIA,Queensland,Right forearm & elbow bitten,N
1295,2005,AUSTRALIA,South Australia,"No injury to occupants, hydrofoil of outboard motor bitten ",N
1296,2005,USA,Florida,Left foot bitten,N
1297,2005,USA,Florida,Right thumb & palm lacerated,N
1298,2005,AUSTRALIA,Victoria,"No injury to occupant, shark bit outboard motor",N
1299,2005,AUSTRALIA,Victoria,"2 lacerations on leg, each 4"" to 5"" long",N
1300,2005,SOUTH AFRICA,Eastern Cape Province,"Cut on finger, board bitten",N
1302,2005,USA,Florida,Left foot bitten,N
1303,2005,USA,Florida,Lacerations to right thigh,N
1305,2005,SOUTH AFRICA,Eastern Cape Province,Lacerations to hands & right leg when he tried to pull shark from the water PROVOKED INCIDENT,N
1306,2005,USA,Florida,Puncture wounds to right foot,N
1307,2005,USA,California,"No injury, board bitten",N
1308,2005,USA,California,"No injury, board bumped",N
1309,2005,USA,Florida,Puncture wounds to foot,N
1311,2005,SOUTH AFRICA,Western Cape Province,Right foot bitten,N
1312,2005,USA,California,No injury,N
1313,2005,USA,California,Leg bitten,N
1314,2005,USA,Florida,Minor cuts to dorsum & sole of left foot when he stepped on shark PROVOKED INCIDENT,N
1315,2005,USA,Hawaii,"No injury, surfboard bitten",N
1317,2005,USA,Florida,Five 1-inch lacerations to left foot,N
1319,2005,SOUTH AFRICA,Western Cape Province,"No injury, shark bit ski",N
1320,2005,AUSTRALIA,New South Wales,"No injury, knocked off board",N
1321,2005,AUSTRALIA,South Australia,Lacerations to legs,N
1322,2005,AUSTRALIA,Western Australia, No injury,N
1323,2005,USA,Florida,Lacerations to dorsum of left foot,N
1324,2005,USA,South Carolina,"Injuries to fingers, calf  & heel",N
1325,2005,USA,South Carolina,FATAL,Y
1326,2005,AUSTRALIA,New South Wales,Left foot & ankle lacerated,N
1327,2005,USA,North Carolina,Calf severely lacerated,N
1328,2005,AUSTRALIA,South Australia,Lacerations to right arm & thigh,N
1329,2005,USA,Florida,Right foot bitten,N
1331,2005,AUSTRALIA,South Australia,FATAL,Y
1332,2005,USA,California,Lower right leg lacerated,N
1333,2005,USA,South Carolina,Laceration to knee,N
1334,2005,USA,South Carolina,Bitten underneath left arm,N
1335,2005,USA,Texas,Left foot bitten,N
1336,2005,SOUTH AFRICA,Western Cape Province,Human foot recovered from the water,N
1337,2005,USA,North Carolina,Laceration on right wrist & crescent of puncture wounds on  forearm ,N
1338,2005,USA,South Carolina,Puncture wounds on left foot ,N
1340,2005,USA,Florida,Laceration on the back of left hand & toothmarks on wrist,N
1341,2005,USA,Florida,"Right foot: Toes and back of foot, minor injury",N
1342,2005,USA,Florida,"Straight 2.5"" laceration on top of left ankle",N
1345,2005,AUSTRALIA,,"A hoax - No shark was involved and Wells' ""daughter"" was his business partner Eileen Purchase who injured her finger on his boat",N
1346,2005,USA,North Carolina,Lacerations of left forearm,N
1347,2005,USA,Texas,Left foot bitten,N
1348,2005,USA,Florida,Ankle bitten,N
1349,2005,USA,Florida,"Leg severely bitten, surgically amputated",N
1350,2005,USA,Florida,"FATAL, leg bitten",Y
1353,2005,USA,Hawaii,"No injury, 2.1m [7'] tiger shark approached swimmer who repelled it with his fist",N
1354,2005,USA,Florida,Foot bitten,N
1356,2005,USA,South Carolina,Foot lacerated,N
1357,2005,USA,New Jersey,Dorsum of foot/ankle  injured by surfboard skeg or other inanimate object.,N
1358,2005,SOUTH AFRICA,Western Cape Province,FATAL,Y
1359,2005,USA,Texas,Two 2-inch lacerations on right foot,N
1360,2005,USA,Florida,Left foot bitten,N
1361,2005,USA,Florida,Right arm & torso bitten,N
1362,2005,SOUTH AFRICA,Eastern Cape Province,Left buttock  & legs lacerated ,N
1363,2005,AUSTRALIA,Queensland,Severe injury to lower leg,N
1364,2005,USA,Hawaii,"No injury, shark bit kayak",N
1366,2005,USA,South Carolina,No injury,N
1367,2005,USA,Hawaii,"No injury, board damaged",N
1368,2005,AUSTRALIA,New South Wales,Laceration on left thigh PROVOKED INCIDENT,N
1369,2005,AUSTRALIA,New South Wales,Shark-bitten surfboard found adrift,N
1370,2005,AUSTRALIA,Northern Territory,Minor cuts above his right eye,N
1371,2005,AUSTRALIA,New South Wales,"No injury, board bitten",N
1372,2005,USA,Florida,Right lower leg bitten,N
1373,2005,USA,Florida,Foot injured ,N
1374,2005,USA,Texas,Left foot bitten ,N
1375,2005,USA,Florida,Left calf injured,N
1377,2005,SOUTH AFRICA,Western Cape Province,"Lacerations to right calf, puncture wounds on right foot",N
1378,2005,AUSTRALIA,New South Wales,"No injury, shark rammed surfboard",N
1380,2005,AUSTRALIA,Western Australia,FATAL,Y
1381,2005,USA,New Mexico,2 punctures on forearm as captive shark collided with diver PROVOKED INCIDENT,N
1382,2005,SOUTH AFRICA,KwaZulu-Natal,Shark bites post mortem,N
1385,2005,AUSTRALIA,Queensland,Finger bitten,N
1386,2005,USA,Florida,Speared shark bit his chest PROVOKED INCIDENT,N
1387,2005,USA,Hawaii,"No injury, knocked off board, shark bit board",N
1388,2005,USA,Florida,Hand bitten,N
1391,2005,AUSTRALIA,Victoria,No injury. Towed by speared shark PROVOKED INCIDENT,N
1392,2005,AUSTRALIA,Victoria,"No injury to occupants, one of the boat's flotation tanks holed PROVOKED INCIDENT",N
1395,2004,AUSTRALIA,South Australia,FATAL,Y
1396,2004,AUSTRALIA,Queensland,"FATAL, leg bitten",Y
1397,2004,SOUTH AFRICA,Eastern Cape Province,3 lacerations on foot,N
1398,2004,SOUTH AFRICA,Eastern Cape Province,Lacerations on lower leg & foot,N
1399,2004,SOUTH AFRICA,Western Cape Province,FATAL,Y
1400,2004,USA,California,"Lacerations to hand, knee & thigh ",N
1405,2004,SOUTH AFRICA,Western Cape Province,Right ankle & foot lacerated,N
1406,2004,AUSTRALIA,New South Wales,Right foot lacerated,N
1407,2004,USA,California,Lower leg bitten,N
1408,2004,USA,Hawaii,Left shoulder bitten,N
1409,2004,SOUTH AFRICA,Eastern Cape Province,Puncture wounds on right foot,N
1411,2004,USA,California,"No injury, knocked off surfboard",N
1412,2004,USA,California,"No injury, shark struck board & spun it around",N
1413,2004,AUSTRALIA,Queensland,"No injury to occupants, boat damaged",N
1414,2004,USA,Oregon,Leg bitten,N
1415,2004,USA,Texas,Minor scratch on calf,N
1417,2004,USA,South Carolina ,Left knee & leg bitten,N
1418,2004,USA,Florida,Heel bitten,N
1420,2004,USA,California,Foot bitten,N
1421,2004,USA,California,FATAL,Y
1422,2004,USA,Florida,"Back, buttocks, left hand & left side of face bitten",N
1423,2004,AUSTRALIA,New South Wales,Minor puncture wounds to leg,N
1424,2004,SOUTH AFRICA,KwaZulu-Natal,No injury to occupants; boat damaged,N
1425,2004,USA,Florida,Right foot bitten,N
1427,2004,USA,North Carolina,Right calf bitten,N
1428,2004,USA,North Carolina,Right forearm & wrist lacerated,N
1429,2004,USA,Texas,Right foot bitten,N
1430,2004,USA,Texas,Right forearm nearly severed and bites above & below the right knee,N
1431,2004,AUSTRALIA,Western Australia,"No injury to occupants; shark mouthed motor, severed anchor line",N
1433,2004,AUSTRALIA,Western Australia,"FATAL, abdomen, pelvis & leg bitten      ",Y
1435,2004,USA,Alabama,Right foot lacerated,N
1436,2004,USA,California,"No injury, shark struck his board",N
1437,2004,AUSTRALIA,Western Australia,"No injury, shark made threat displays & diver fended it off with his speargun",N
1438,2004,USA,Florida,Foot bitten,N
1439,2004,AUSTRALIA,Western Australia,Ankle & foot lacerated,N
1440,2004,USA,Florida,Right wrist  & left arm lacerated,N
1441,2004,SOUTH AFRICA,Western Cape Province,"FATAL, leg severed ",Y
1442,2004,USA,Texas,Puncture wounds on shin,N
1444,2004,USA,California,No injury,N
1445,2004,USA,Florida,Calf & foot lacerated,N
1446,2004,USA,Florida,Single puncture wound on the foot,N
1447,2004,USA,Florida,Foot bitten,N
1450,2004,USA,Texas,"No injury, board bitten",N
1452,2004,AUSTRALIA,New South Wales,Puncture wounds on wrist,N
1456,2004,USA,Hawaii,FATAL Severe wound to right thigh & calf,Y
1457,2004,SOUTH AFRICA,Western Cape Province,"Left leg lacerated, right leg severed above the knee ",N
1458,2004,USA,Hawaii,"Disappeared, surfboard washed ashore, marks on leash suggested shark involvement ",Y
1459,2004,USA,Florida,Right foot bitten,N
1460,2004,USA,Florida,15 puncture wounds on foot,N
1462,2004,USA,Florida,Heel bitten,N
1464,2004,USA,Florida,Minor lacerations & abrasions on forearm,N
1465,2004,USA,Hawaii,Lacerations to left foot,N
1467,2004,USA,Hawaii,"No injury, board bitten",N
1468,2004,AUSTRALIA,Western Australia,Shin & calf bitten,N
1471,2004,AUSTRALIA,New South Wales,Three toes lacerated,N
1472,2004,AUSTRALIA,Queensland,"Disappeared while diving, may have suffered shallow water blackout. Searchers observed large tiger sharks & whaler sharks in the area",N
1474,2004,AUSTRALIA,New South Wales,Leg bitten,N
1475,2004,AUSTRALIA,Western Australia,Left leg bitten,N
1480,2004,SOUTH AFRICA,KwaZulu-Natal,"No injury to occupants, stern of ski bitten",N
1481,2004,AUSTRALIA,New South Wales,"No injury, swim fin ripped off",N
1482,2004,SOUTH AFRICA,Eastern Cape Province,Foot lacerated,N
1485,2004,AUSTRALIA,Western Australia,No inury,N
1486,2003,SOUTH AFRICA,KwaZulu-Natal,No injury to occupants,N
1487,2003,USA,Florida,Knee lacerated,N
1488,2003,USA,Florida,Foot bitten,N
1490,2003,AUSTRALIA,Victoria,"No inury, shark caught leash attached to surfer's ankle & towed him a short distance",N
1491,2003,AUSTRALIA,Western Australia,"After biting Halverson, it bit Scott's thigh",N
1492,2003,AUSTRALIA,Western Australia,Hand & foot bitten,N
1493,2003,SOUTH AFRICA,KwaZulu-Natal,"Presumed FATAL, severed hand recovered",Y
1494,2003,USA,Florida,Severe abrasion to left lateral calf,N
1496,2003,USA,Florida,Lacerations to hand,N
1498,2003,SOUTH AFRICA,KwaZulu-Natal,"No injury to occupants, hull of ski bitten",N
1499,2003,AUSTRALIA,New South Wales,Minor lacerations to leg & foot,N
1501,2003,USA,Florida,Left foot (sole) bitten,N
1502,2003,AUSTRALIA,New South Wales,Left ankle & foot lacerated,N
1503,2003,USA,Hawaii,Left arm severed below shoulder,N
1504,2003,USA,Florida,Laceration on right ankle & heel,N
1505,2003,USA,Hawaii,Left forearm lacerated,N
1506,2003,USA,Florida,Foot bitten,N
1507,2003,USA,Florida,"Fatal, drowning or scavenging.  Two hours later his body, with bite marks,  washed ashore.",Y
1508,2003,USA,Florida,Minor puncture wounds in hand,N
1509,2003,USA,Florida,5 to 6 lacerations on right foot & ankle,N
1510,2003,USA,Florida,Left ankle bitten when he stepped on the shark PROVOKED INCIDENT,N
1511,2003,USA,Florida,Left foot bitten,N
1512,2003,USA,Hawaii,"Left thigh abraded, right knee and right index finger injured",N
1514,2003,USA,Florida,Arm lacerated,N
1515,2003,USA,Florida,Left foot bitten,N
1516,2003,USA,Florida,Left heel lacerated,N
1517,2003,USA,Florida,3 puncture wounds on left foot,N
1518,2003,USA,Florida,Left foot: lacerations on heel and sole,N
1519,2003,SOUTH AFRICA,Western Cape Province,"No injury to occupants, shark bit boat",N
1520,2003,USA,Florida,Puncture wounds on inner thigh,N
1521,2003,USA,Florida,Left calf avulsion,N
1522,2003,USA,South Carolina,Ankle lacerated,N
1523,2003,SOUTH AFRICA,Western Cape Province,"FATAL, left thigh, buttocks, back of spine, abdomen & chest bitten  ",Y
1524,2003,USA,Florida,2 lacerations on each side of Achilles tendon,N
1525,2003,USA,Texas,PROVOKED INCIDENT Hooked shark pulled onboard bit his arm  ,N
1526,2003,USA,California,"FATAL          Hip & upper thigh bitten, femoral artery severed ",Y
1527,2003,USA,California,Left ankle lacerated,N
1528,2003,SOUTH AFRICA,Eastern Cape Province,"No injury, wetsuit torn & board bitten",N
1529,2003,AUSTRALIA,Northern Territory,"No injury, flung into water when shark bit rudder of ski",N
1530,2003,USA,Florida,Laceration to little finger of  right hand,N
1531,2003,USA,Florida,Heel & sole of left foot,N
1533,2003,USA,Florida,3 puncture wounds on right lateral ankle PROVOKED INCIDENT,N
1534,2003,USA,Florida,Left foot bitten,N
1536,2003,USA,Florida,Laceration to toe,N
1539,2003,USA,Florida,Right foot & toes lacerated,N
1540,2003,USA,Florida,Ankle lacerated,N
1542,2003,USA,Florida,2 lacerations to the thigh,N
1543,2003,USA,Hawaii,Right foot bitten,N
1544,2003,USA,Johnston Atoll,Left leg bitten,N
1545,2003,USA,North Carolina,Hand bitten ,N
1546,2003,USA,Florida,6 puncture wounds to left ankle,N
1547,2003,USA,South Carolina,Foot lacerated,N
1548,2003,USA,Florida,Left foot lacerated,N
1549,2003,USA,Florida,Left foot bitten,N
1550,2003,USA,Hawaii,Right calf & heel bitten,N
1551,2003,USA,Florida,Multiple bites to foot after jumping off surfboard onto shark PROVOKED INCIDENT,N
1552,2003,USA,Florida,Laceration to right lower leg,N
1558,2003,USA,Florida,Right leg bitten,N
1559,2003,USA,Florida,Survived,N
1560,2003,USA,Florida,Left foot bitten,N
1561,2003,USA,Florida,Small lacerations to foot,N
1562,2003,USA,Florida,Left ankle bitten or right foot,N
1563,2003,USA,Florida,Left foot bitten,N
1564,2003,USA,Florida,2 lacerations on left thigh,N
1565,2003,USA,Florida,Left calf lacerated,N
1567,2003,USA,Florida,Arm lacerated,N
1568,2003,USA,Florida,Left hand and wrist bitten,N
1569,2003,USA,Florida,Hand nipped PROVOKED INCIDENT,N
1571,2003,AUSTRALIA,South Australia,Ankle lacerated,N
1572,2003,USA,Florida,Left hand bitten,N
1573,2003,AUSTRALIA,New South Wales,"Puncture wounds on heel, legs and buttocks",N
1574,2003,AUSTRALIA,Queensland,FATAL,Y
1575,2003,SOUTH AFRICA,Western Cape Province,Probable scavenging. The boy disappeared while at the beach on January 1st. His decomposed shark-bitten body washed ashore January 17th,Y
1577,2003,AUSTRALIA,Western Australia,"No injury, but her surfboard was bitten",N
1578,2002,AUSTRALIA,Queensland,Left arm lacerated,N
1579,2002,SOUTH AFRICA,Western Cape Province,Forearms lacerated,N
1580,2002,AUSTRALIA,Queensland,Groin bitten,N
1581,2002,AUSTRALIA,Queensland,Foot lacerated,N
1582,2002,AUSTRALIA,Queensland,FATAL,Y
1585,2002,USA,California,Both legs severely lacerated,N
1586,2002,USA,Hawaii,Right shoulder forarm & wrist bitten,N
1588,2002,USA,Florida,1.5-inch laceration,N
1589,2002,USA,Florida,Puncture wounds on right foot,N
1591,2002,USA,Hawaii,Left foot bitten ,N
1593,2002,USA,Florida,Left foot bitten,N
1594,2002,USA,Florida,Abrasions on right hand & deep laceration on middle finger,N
1595,2002,USA,Florida,Heel & back of right knee lacerated,N
1596,2002,USA,Florida,Left hand lacerated and abraded,N
1597,2002,USA,Florida,Right hand severely lacerated,N
1598,2002,USA,Florida,Left hand bitten,N
1599,2002,USA,Hawaii,"No injury, surfboard bitten ",N
1600,2002,USA,Florida,Left thumb lacerated PROVOKED INCIDENT,N
1602,2002,USA,Oregon, Ankle lacerated,N
1603,2002,USA,California,No injury,N
1605,2002,USA,Hawaii,"No injury, shark fin seen just before board ripped away & dragged out to sea",N
1606,2002,SOUTH AFRICA,Western Cape Province,No injury,N
1607,2002,USA,Florida,Bitten above & below right knee,N
1608,2002,USA,Florida,2 small puncture wounds on left foot PROVOKED INCIDENT,N
1609,2002,USA,Hawaii,Left foot lacerated ,N
1610,2002,USA,Alabama,Both arms & leg bitten,N
1611,2002,USA,Florida,Big toe bitten,N
1612,2002,USA,Florida,Lacerations on heel & dorsum of right foot,N
1613,2002,USA,Florida,Ankle & leg lacerated,N
1615,2002,USA,North Carolina,Leg lacerated,N
1616,2002,USA,South Carolina,Heel bitten,N
1617,2002,USA,North Carolina,Calf bitten,N
1618,2002,USA,Florida,2 small lacerations on left lower leg when he jumped off board and landed on the shark PROVOKED INCIDENT,N
1619,2002,USA,Maryland,Drowned when caught in line and pulled overboard by hooked shark PROVOKED INCIDENT,Y
1621,2002,USA,North Carolina,"Calf, foot & hand bitten",N
1622,2002,AUSTRALIA,Queensland,minor injury to foot,N
1623,2002,USA,Florida,Small lacerations on right lower leg,N
1627,2002,USA,Hawaii,"No injury, shark bit side of surfboard",N
1628,2002,USA,Florida,Right hand lacerated,N
1629,2002,USA,Florida,6-inch gash on right foot,N
1630,2002,USA,Florida,Right calf lacerated,N
1631,2002,SOUTH AFRICA,KwaZulu-Natal between Port Edward and Port St Johns,Upper arm bitten,N
1632,2002,USA,California,Lacerated leg & back,N
1633,2002,USA,Florida,Lacerated foot,N
1634,2002,USA,Florida,Leg bitten by hooked shark PROVOKED INCIDENT,N
1635,2002,USA,Florida,"2-inch wound on dorsum of right foot, 1-inch wound on sole",N
1638,2002,USA,Florida,Laceration to arm.,N
1640,2002,AUSTRALIA,Northern Territory,Netted shark injured his am & 6 fingers PROVOKED INCIDENT,N
1641,2002,AUSTRALIA,South Australia,"FATAL, torso & leg bitten  ",Y
1642,2002,AUSTRALIA,New South Wales,"Drowned, his remains were found in a 3m [10'], 368 kg [811-lb] tiger shark",Y
1643,2002,USA,Florida,Left foot bitten,N
1644,2002,USA,Florida,Left foot bitten,N
1645,2002,AUSTRALIA,New South Wales,Foot bitten,N
1647,2002,USA,Florida,Two half-inch lacerations on right heel and one near small toe,N
1648,2002,USA,Florida,Upper left arm bitten,N
1649,2002,USA,Hawaii,Left leg severed below knee,N
1650,2002,USA,Florida,Foot bitten,N
1652,2002,USA,Florida,Punctures on left foot and foot ,N
1653,2002,USA,Florida,Arm bitten,N
1654,2002,USA,Florida,Several  puncture wounds on lower right leg,N
1657,2002,AUSTRALIA,Queensland,Heel / foot bitten,N
1659,2002,AUSTRALIA,New South Wales,Stern of kayak bitten/chest bruised ,N
1660,2002,AUSTRALIA,New South Wales,Bruises & minor cuts,N
1661,2002,AUSTRALIA,Western Australia,15 cm wound on inner thigh,N
1662,2002,SOUTH AFRICA,KwaZulu-Natal,Leg bitten & surgically amputated,N
1664,2002,SOUTH AFRICA,KwaZulu-Natal,Foot & calf bitten,N
1665,2002,USA,Hawaii,Lacerations to buttocks & thigh,N
1666,2001,AUSTRALIA,Western Australia,"No injury, 2 m to 2.5 m [6.75'  to 8.25'] shark made a threat display",N
1667,2001,AUSTRALIA,New South Wales,"No Injury, shark hit board",N
1668,2001,USA,Hawaii,"No injury, portion of board's lower surface removed",N
1669,2001,AUSTRALIA,Western Australia,"No injury, fell off ski after possibly colliding with  a shark",N
1670,2001,SOUTH AFRICA,KwaZulu-Natal,No injury,N
1671,2001,AUSTRALIA,Queensland,Lacerations to right forearm & shoulder injured,N
1673,2001,AUSTRALIA,Queensland,No injury from shark,N
1674,2001,USA,Florida,PROVOKED INCIDENT Several small lacerations on left foot ,N
1675,2001,USA,Florida,"1"" to 2"" cuts on right ankle & foot",N
1676,2001,USA,Florida,FATAL or drowning & scavenging,Y
1677,2001,USA,Florida,"2 lacerations on lower back, punctures on buttock",N
1678,2001,USA,North Carolina,Foot bitten,N
1680,2001,USA,Florida,Fingers & leg lacerated  by hooked shark PROVOKED INCIDENT,N
1681,2001,USA,Florida,Minor injury to left leg,N
1682,2001,USA,South Carolina,Left hand injured,N
1683,2001,USA,North Carolina,FATAL,Y
1684,2001,USA,North Carolina,Left buttock & foot  severed,N
1685,2001,USA,Florida,Right calf lacerated,N
1686,2001,USA,Virginia,"FATAL, thigh bitten ",Y
1688,2001,USA,Florida,Punctures & lacerations on elbow & forearm,N
1689,2001,USA,Florida,Heel lacerated,N
1690,2001,USA,Florida,Thigh & foot bitten,N
1691,2001,USA,Florida,Upper left thigh & right foot bitten,N
1692,2001,USA,Florida,Foot lacerated,N
1693,2001,USA,Florida,Thigh lacerated,N
1694,2001,USA,Florida,Cuts on right foot,N
1695,2001,USA,Florida,Lacerations to lower leg,N
1696,2001,USA,Florida,Left foot lacerated,N
1697,2001,USA,Florida,Cuts on right foot,N
1698,2001,USA,Florida,Back of left hand gashed,N
1699,2001,USA,Florida,Left ankle bitten,N
1702,2001,USA,South Carolina,Toe bitten,N
1705,2001,USA,South Carolina,Survived,N
1706,2001,USA,Florida,Minor injury,N
1707,2001,USA,Florida,2 bites behind knee,N
1708,2001,USA,Massachusetts,No Injury to occupants; shark bumped the boat ,N
1709,2001,USA,Florida,Left foot & heel lacerated,N
1710,2001,USA,Florida,Foot lacerated,N
1712,2001,USA,Florida,"Arm severed, surgically reattached",N
1713,2001,USA,South Carolina,Hand bitten,N
1714,2001,USA,Georgia,2-inch cut on dorsum of left foot,N
1715,2001,USA,Texas,Leg lacerated,N
1716,2001,USA,California,"No injury. Shark made threat display, then diver shot the shark PROVOKED INCIDENT",N
1717,2001,AUSTRALIA,New South Wales,Remains recovered from gut of a  3.7 m [12'] tiger shark,Y
1718,2001,USA,South Carolina,3 puncture wounds on each side of her left  hand,N
1719,2001,USA,Texas,Survived,N
1720,2001,USA,South Carolina,Shin lacerated,N
1721,2001,USA,South Carolina,5.5-inch laceration on calf,N
1724,2001,SOUTH AFRICA,Eastern Cape Province,Leg bitten,N
1725,2001,AUSTRALIA,New South Wales,"Chest lacerated, surfboard bitten",N
1726,2001,USA,Florida,Foot lacerated ,N
1728,2001,USA,Florida,4 small lacerations on lower right leg,N
1729,2001,USA,Florida,Foot & ankle lacerated,N
1730,2001,USA,Florida,Right foot & ankle lacerated,N
1731,2001,USA,Florida,Right ankle & lower leg lacerated,N
1732,2001,USA,Florida,Foot & ankle lacerated,N
1733,2001,USA,Florida,Small cuts on big & pinky toes of left foot,N
1734,2001,USA,Florida,Foot & ankle lacerated,N
1735,2001,USA,Florida,Foot lacerated,N
